* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 19, 2024 11:37:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: bad fan that came in unit 23; intake off, exhaust 100 pwm; without volume on
* Measurement: Bad Fan in Unit 23 - 2
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 52.037 29.1494
20.287556 52.114 30.0254
20.434568 52.189 30.3169
20.582645 52.175 30.9358
20.731796 52.010 31.7744
20.882027 51.742 32.9308
21.033346 51.393 34.6394
21.185762 50.960 36.7631
21.339283 50.440 39.0846
21.493916 49.821 41.8001
21.649670 49.044 44.6182
21.806553 48.092 47.7112
21.964573 46.874 51.0947
22.123737 45.315 54.9799
22.284056 43.352 59.8005
22.445536 40.740 65.7757
22.608185 37.790 76.3860
22.772013 36.553 121.8388
22.937029 37.908 -124.0568
23.103241 40.310 -109.6862
23.270657 42.994 -101.7103
23.439285 45.436 -96.6317
23.609137 47.285 -92.8825
23.780218 48.685 -90.2757
23.952539 49.696 -88.9622
24.126110 50.302 -88.3627
24.300938 50.488 -88.7328
24.477032 50.212 -89.9026
24.654402 49.376 -91.9432
24.833057 47.955 -95.6865
25.013008 45.847 -102.5194
25.194263 43.563 -122.6591
25.376831 43.396 164.8300
25.560722 45.356 120.4015
25.745945 47.602 109.6317
25.932510 49.684 105.0642
26.120428 51.143 103.0004
26.309708 52.018 101.9813
26.500359 52.459 101.6106
26.692390 52.477 101.6555
26.885815 52.087 101.8709
27.080641 51.233 102.3239
27.276878 49.831 103.0098
27.474539 47.765 104.5038
27.673630 44.771 108.9495
27.874165 42.294 131.9986
28.076153 41.942 -117.6586
28.279604 42.995 -100.2614
28.484529 44.454 -96.3973
28.690941 44.902 -92.8124
28.898848 44.407 -86.4241
29.108261 43.698 -66.8557
29.319191 44.057 -23.3839
29.531651 46.350 9.6171
29.745649 48.814 19.4304
29.961199 50.715 21.0679
30.178310 51.838 19.0183
30.396996 52.198 14.8942
30.617264 51.846 8.7864
30.839128 50.792 0.6168
31.062601 49.087 -12.5407
31.287693 47.140 -34.8840
31.514416 45.631 -75.5757
31.742783 45.448 -114.7903
31.972803 45.735 -134.8220
32.204491 45.804 -144.9933
32.437859 45.021 -148.7346
32.672916 43.317 -147.5247
32.909679 40.881 -134.6366
33.148155 39.120 -89.5081
33.388359 38.742 -33.6399
33.630306 39.607 -10.5065
33.874004 40.385 10.4244
34.119469 41.839 50.6293
34.366711 44.532 99.7406
34.615746 47.560 120.3790
34.866585 50.210 128.1525
35.119244 52.044 131.2963
35.373734 53.043 132.1096
35.630066 53.175 132.0367
35.888256 52.379 131.5903
36.148315 50.533 132.1471
36.410259 48.183 139.1132
36.674103 46.959 -105.9191
36.939857 48.371 -71.9960
37.207539 49.856 -67.9675
37.477161 50.415 -64.5343
37.748737 49.892 -57.3558
38.022282 48.839 -37.0275
38.297806 48.925 7.2574
38.575329 50.279 43.0032
38.854862 52.026 58.7849
39.136421 53.153 67.4966
39.420021 53.601 74.3882
39.705673 53.449 80.7507
39.993397 52.730 86.8162
40.283207 51.393 92.2758
40.575115 49.279 97.1752
40.869141 46.651 106.6318
41.165295 45.494 -132.9263
41.463596 46.637 -102.7495
41.764057 48.241 -100.8333
42.066696 48.741 -101.0398
42.371529 48.116 -98.4806
42.678570 46.830 -87.4957
42.987835 46.001 -62.6566
43.299343 46.339 -38.6869
43.613110 47.171 -29.2874
43.929150 47.297 -27.6058
44.247478 46.366 -25.4041
44.568115 44.706 -12.4797
44.891075 43.819 23.5901
45.216373 44.301 50.7618
45.544029 44.971 57.9218
45.874062 44.509 55.4941
46.206486 42.823 50.4200
46.541317 41.030 66.5667
46.878574 41.084 -150.8385
47.218277 41.666 -161.1522
47.560440 41.315 -179.0454
47.905083 40.970 116.6335
48.252224 41.787 39.4753
48.601879 42.604 20.7302
48.954067 42.281 12.8300
49.308807 41.405 20.7064
49.666119 42.059 142.4425
50.026020 43.790 150.4420
50.388531 44.733 146.1680
50.753666 44.172 138.5054
51.121449 42.352 123.0148
51.491894 40.627 52.5262
51.865025 40.334 -10.7966
52.240860 40.594 -22.8755
52.619419 40.249 -28.7471
53.000721 39.891 -41.3453
53.384785 41.169 -74.3293
53.771633 43.801 -104.4347
54.161285 46.168 -118.4293
54.553761 47.434 -126.8210
54.949081 47.330 -133.5829
55.347263 45.869 -138.0068
55.748333 44.127 -127.3724
56.152309 45.234 -85.4058
56.559212 49.092 -113.4077
56.969063 53.037 -148.2684
57.381886 56.162 -169.8846
57.797699 58.213 173.3198
58.216526 59.131 157.7800
58.638386 58.933 141.9830
59.063305 57.668 124.8414
59.491302 55.413 105.6005
59.922401 52.304 85.0571
60.356625 48.666 69.7203
60.793995 45.410 68.3661
61.234531 43.539 73.8922
61.678261 42.198 77.6948
62.125206 40.286 84.9308
62.575390 38.758 93.4848
63.028835 39.550 66.3145
63.485569 41.901 12.4222
63.945610 43.752 -12.3420
64.408989 44.086 -27.8908
64.875725 42.807 -44.2906
65.345840 40.963 -82.8379
65.819366 41.208 -128.7953
66.296318 43.514 -129.0922
66.776726 45.760 -117.1813
67.260620 47.872 -79.5348
67.748016 50.390 -26.9117
68.238945 52.410 -13.2426
68.733429 53.030 -9.1590
69.231499 52.771 13.2577
69.733177 53.314 94.6851
70.238495 54.295 106.0406
70.747475 54.169 97.8207
71.260139 53.306 50.7636
71.776520 53.048 -68.7885
72.296638 52.948 -87.8851
72.820526 52.625 -122.1961
73.348213 53.374 114.1027
73.879723 54.658 103.8204
74.415085 55.099 108.8243
74.954330 54.544 123.8388
75.497482 53.244 145.3655
76.044571 51.275 169.6658
76.595619 48.740 -155.0644
77.150665 46.262 -109.6118
77.709732 44.564 -101.9050
78.272850 44.082 -162.3955
78.840050 44.441 152.9861
79.411354 44.031 143.8103
79.986801 42.192 153.0895
80.566422 39.648 -165.3852
81.150238 37.433 -142.2997
81.738289 36.471 176.2424
82.330597 37.829 75.5674
82.927200 39.909 60.3116
83.528122 41.231 49.2614
84.133400 41.785 37.0302
84.743065 42.881 -96.7326
85.357147 45.126 -150.5135
85.975677 47.537 -147.9791
86.598694 50.288 -111.6185
87.226227 53.325 -76.2586
87.858307 55.589 -74.2876
88.494965 56.470 -84.3010
89.136238 55.916 -100.2520
89.782158 54.064 -120.3539
90.432755 51.256 -137.7672
91.088066 48.786 -64.4084
91.748131 48.435 -44.7409
92.412979 49.145 -79.2219
93.082642 49.885 -136.2214
93.757156 50.561 -165.3880
94.436562 50.894 -167.9510
95.120888 50.706 -162.7911
95.810173 50.087 -158.1473
96.504456 49.914 2.2648
97.203766 49.823 -1.0914
97.908142 48.559 -13.8709
98.617622 46.838 -121.5381
99.332245 47.029 -125.0275
100.052048 49.899 -34.3683
100.777069 53.379 23.1340
101.507339 55.976 40.0226
102.242905 57.004 41.9190
102.983795 56.561 46.0523
103.730057 55.964 123.6531
104.481728 55.992 137.9894
105.238846 55.575 117.2543
106.001450 54.670 -106.5690
106.769577 53.861 -113.5227
107.543274 52.638 -122.4997
108.322578 50.876 -107.9963
109.107529 49.290 -97.8010
109.898170 48.410 -128.1660
110.694534 49.526 176.6256
111.496674 51.536 155.9952
112.304626 52.692 144.0444
113.118431 53.312 -137.0270
113.938133 53.850 -103.2540
114.763779 53.521 -124.1228
115.595406 52.496 122.8940
116.433060 51.763 76.9156
117.276779 51.588 76.5070
118.126617 52.686 114.1768
118.982613 54.513 119.3779
119.844810 55.231 95.7219
120.713257 54.186 62.0895
121.587997 51.819 -22.3293
122.469070 49.428 -52.3095
123.356529 48.412 -43.9318
124.250420 48.275 -39.0801
125.150787 48.718 -22.8491
126.057678 49.455 -4.9492
126.971146 50.063 7.1826
127.891228 51.184 133.9521
128.817978 53.010 179.7736
129.751450 54.670 -165.7814
130.691681 55.811 -151.6627
131.638733 56.093 -143.2978
132.592636 56.126 -110.0236
133.553452 56.454 -105.6917
134.521240 56.053 -121.5772
135.496033 54.593 -115.0823
136.477890 53.053 -44.1248
137.466858 52.041 -4.3577
138.462997 51.002 26.8232
139.466354 50.330 36.0939
140.476990 50.090 -13.7349
141.494949 49.799 -25.1621
142.520279 49.778 -8.3430
143.553040 49.708 -0.2965
144.593277 48.750 12.9391
145.641052 47.287 42.1804
146.696426 46.182 150.4064
147.759445 45.970 -153.6135
148.830170 46.991 -84.1060
149.908661 49.345 -84.1079
150.994965 52.009 117.8925
152.089142 53.943 83.5472
153.191238 54.452 67.7950
154.301331 54.028 62.4578
155.419464 54.142 74.2684
156.545700 54.546 74.8458
157.680099 54.889 58.9310
158.822708 56.575 95.5880
159.973602 59.977 142.7406
161.132843 64.461 -136.3210
162.300476 69.292 -95.2560
163.476578 73.629 -157.9727
164.661194 76.681 -143.4290
165.854401 77.722 -143.7238
167.056244 76.390 -144.9036
168.266800 73.073 -125.0566
169.486130 68.631 -115.4077
170.714294 64.607 -131.2800
171.951355 62.511 -157.6875
173.197388 61.862 140.0959
174.452454 61.114 46.5995
175.716614 59.737 -30.8439
176.989929 57.675 -52.4352
178.272476 55.383 -162.9051
179.564316 54.191 157.5476
180.865509 54.125 154.0034
182.176132 54.813 174.0656
183.496262 55.729 -99.0674
184.825958 56.240 -51.2394
186.165283 56.217 91.0756
187.514313 55.551 116.3270
188.873123 54.358 150.8623
190.241776 53.331 -153.5438
191.620346 53.750 8.6653
193.008911 55.396 19.1483
194.407532 56.925 0.6636
195.816284 57.601 -17.3459
197.235245 57.365 -37.4246
198.664490 57.278 -38.1808
200.104095 58.126 85.4525
201.554138 58.942 147.5295
203.014679 58.860 -178.1158
204.485809 58.413 -15.4767
205.967590 58.431 92.9451
207.460114 59.532 121.6431
208.963455 61.715 164.6246
210.477692 63.579 -162.9336
212.002899 64.140 -149.0968
213.539154 63.606 -147.1455
215.086548 62.457 -169.3988
216.645157 60.848 172.6617
218.215057 59.582 170.8414
219.796341 59.517 177.0360
221.389069 59.427 -153.7760
222.993347 58.358 -127.7120
224.609253 56.469 -135.7540
226.236862 55.061 165.6293
227.876266 54.685 -126.5697
229.527557 54.085 -66.3119
231.190811 52.671 -28.3729
232.866119 51.181 -73.9100
234.553558 50.552 -69.9799
236.253235 50.160 -70.7570
237.965225 50.108 51.1560
239.689621 50.778 102.2554
241.426514 51.210 139.3088
243.175995 50.774 149.9243
244.938141 49.760 18.3466
246.713058 48.256 25.0541
248.500839 46.643 -76.0464
250.301575 46.080 -165.9994
252.115356 46.251 -173.8063
253.942291 46.036 -146.6433
255.782455 45.406 -145.4476
257.635956 44.829 106.9094
259.502899 44.634 89.8295
261.383362 44.575 85.8230
263.277466 43.804 115.1952
265.185272 42.860 119.2662
267.106903 43.155 87.3315
269.042480 43.992 74.4452
270.992065 44.547 54.9546
272.955780 44.857 13.0377
274.933716 45.344 31.4508
276.925995 46.116 64.1053
278.932709 46.542 60.5410
280.953979 46.400 144.7777
282.989899 45.684 -174.7056
285.040558 44.501 -153.4359
287.106079 43.442 -62.5244
289.186554 43.605 14.0398
291.282104 45.300 143.9788
293.392853 46.676 151.9399
295.518890 46.504 139.4624
297.660339 45.418 26.0199
299.817322 44.822 -33.2502
301.989929 44.683 -39.7081
304.178284 44.569 -69.6613
306.382477 45.079 -112.6862
308.602661 46.057 -116.9106
310.838928 46.726 -30.6981
313.091400 46.639 -42.0137
315.360199 46.032 -41.9330
317.645416 45.287 63.0226
319.947205 45.338 91.6685
322.265686 46.340 115.8445
324.600952 47.873 -110.3616
326.953156 49.716 -97.1589
329.322388 51.176 -114.1304
331.708801 51.489 -155.0757
334.112488 50.415 157.5088
336.533600 48.844 91.2791
338.972260 48.036 101.2908
341.428589 48.019 143.6667
343.902710 47.963 177.9629
346.394775 47.623 -156.0645
348.904907 48.104 -173.0259
351.433228 50.022 103.9683
353.979858 52.062 -179.6201
356.544952 52.906 -168.1125
359.128632 52.140 174.3818
361.731018 50.813 162.8042
