* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 19, 2024 11:38:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: bad fan that came in unit 23; intake off, exhaust 100 pwm; with the volume on
* Measurement: Bad Fan in Unit 23
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 59.239 166.9814
20.287556 58.028 165.0497
20.434568 56.438 163.5173
20.582645 54.268 163.1993
20.731796 51.211 166.0913
20.882027 48.632 -179.9307
21.033346 47.961 -108.7822
21.185762 48.759 -66.4415
21.339283 50.125 -59.5115
21.493916 51.720 -59.4482
21.649670 52.738 -61.1229
21.806553 52.969 -64.7239
21.964573 52.549 -69.4360
22.123737 51.464 -75.8658
22.284056 49.991 -86.5201
22.445536 48.645 -105.3152
22.608185 47.798 -149.2807
22.772013 48.529 163.3847
22.937029 50.726 139.4710
23.103241 52.883 127.9669
23.270657 54.486 120.3176
23.439285 55.658 114.7722
23.609137 56.396 110.2177
23.780218 56.749 106.2313
23.952539 56.764 102.8376
24.126110 56.432 99.6432
24.300938 55.749 97.0249
24.477032 54.681 94.6924
24.654402 53.146 93.2179
24.833057 51.092 92.9516
25.013008 48.319 95.4957
25.194263 45.157 108.0676
25.376831 43.541 163.0218
25.560722 44.035 -141.4662
25.745945 45.354 -128.1051
25.932510 46.844 -123.2927
26.120428 47.676 -119.1691
26.309708 47.912 -114.5540
26.500359 47.884 -107.6446
26.692390 47.778 -98.3679
26.885815 47.938 -88.3849
27.080641 48.317 -79.6247
27.276878 48.796 -75.0880
27.474539 49.169 -74.5308
27.673630 49.225 -79.1019
27.874165 49.053 -88.5220
28.076153 48.765 -106.0441
28.279604 48.961 -131.2773
28.484529 49.853 -161.1482
28.690941 51.191 175.3448
28.898848 52.655 158.2238
29.108261 53.750 145.7321
29.319191 54.391 135.7045
29.531651 54.490 126.6786
29.745649 53.987 118.5678
29.961199 52.821 109.8573
30.178310 50.831 100.5027
30.396996 48.466 85.3930
30.617264 46.809 28.5308
30.839128 47.111 -61.0285
31.062601 49.177 -80.2304
31.287693 50.792 -89.6089
31.514416 51.682 -96.9960
31.742783 51.849 -103.4330
31.972803 51.399 -109.0539
32.204491 50.385 -114.4711
32.437859 48.859 -119.2654
32.672916 46.850 -124.0659
32.909679 44.370 -128.8820
33.148155 41.396 -135.4693
33.388359 38.504 -147.9600
33.630306 36.979 147.4267
33.874004 38.785 62.1524
34.119469 42.025 44.8250
34.366711 44.893 34.0000
34.615746 47.063 24.7746
34.866585 48.523 16.7250
35.119244 49.261 8.8989
35.373734 49.218 1.8188
35.630066 48.279 -4.6752
35.888256 46.417 -11.3407
36.148315 43.858 -18.7965
36.410259 42.977 176.6705
36.674103 44.253 163.8348
36.939857 46.002 162.7356
37.207539 46.978 167.5710
37.477161 47.530 178.3940
37.748737 48.133 -165.5770
38.022282 49.074 -150.6438
38.297806 49.860 -142.5438
38.575329 50.050 -139.6901
38.854862 49.331 -140.5886
39.136421 47.518 -144.5594
39.420021 44.650 -151.9960
39.705673 42.097 133.5848
39.993397 40.901 38.3285
40.283207 40.655 31.1652
40.575115 40.100 40.3050
40.869141 41.277 155.9232
41.165295 43.421 169.5289
41.463596 44.965 168.1038
41.764057 45.049 165.1357
42.066696 44.527 170.3112
42.371529 45.902 -53.7231
42.678570 48.332 -47.2238
42.987835 50.193 -50.5469
43.299343 50.634 -54.7447
43.613110 49.759 -57.2283
43.929150 48.464 -43.4796
44.247478 49.268 69.9977
44.568115 51.377 79.3888
44.891075 52.890 76.2904
45.216373 53.101 71.3397
45.544029 51.954 66.6499
45.874062 49.708 66.1348
46.206486 47.576 121.4548
46.541317 47.564 -167.6742
46.878574 48.512 -171.2137
47.218277 48.617 174.6722
47.560440 48.214 143.4136
47.905083 48.755 67.4467
48.252224 50.332 19.9570
48.601879 51.736 -2.3499
48.954067 52.270 -19.2403
49.308807 51.764 -34.9770
49.666119 50.188 -50.9750
50.026020 47.587 -68.3918
50.388531 44.555 -94.9854
50.753666 42.660 94.7502
51.121449 42.310 72.0422
51.491894 41.925 55.2266
51.865025 40.503 40.6978
52.240860 38.046 27.5820
52.619419 35.806 7.8684
53.000721 36.584 -36.8103
53.384785 39.632 -71.7696
53.771633 42.462 -89.5109
54.161285 44.266 -101.4277
54.553761 44.994 -109.2402
54.949081 44.910 -112.6614
55.347263 44.785 -114.1160
55.748333 46.150 -124.4150
56.152309 49.722 144.6932
56.559212 54.017 84.3743
56.969063 57.713 64.7529
57.381886 60.408 47.9301
57.797699 62.049 31.0212
58.216526 62.642 13.5787
58.638386 62.185 -4.6047
59.063305 60.660 -23.9468
59.491302 58.071 -45.2155
59.922401 54.633 -72.0402
60.356625 51.222 126.2584
60.793995 49.118 66.0271
61.234531 48.358 16.4686
61.678261 48.078 -33.1228
62.125206 47.515 -68.0444
62.575390 46.191 -96.4651
63.028835 44.427 -138.9165
63.485569 43.554 158.8812
63.945610 44.052 138.0917
64.408989 44.815 142.9852
64.875725 45.534 165.8311
65.345840 46.456 -162.5562
65.819366 47.224 -139.2111
66.296318 47.195 -122.8921
66.776726 46.168 -107.2542
67.260620 44.654 -85.2042
67.748016 44.376 35.8412
68.238945 45.801 69.4653
68.733429 46.905 68.3369
69.231499 47.096 48.1556
69.733177 47.509 -50.0114
70.238495 48.294 -91.0491
70.747475 48.099 -106.2439
71.260139 46.683 -123.0787
71.776520 45.716 80.9434
72.296638 46.769 48.2372
72.820526 49.400 0.7981
73.348213 52.654 -49.8021
73.879723 55.332 -69.0278
74.415085 56.699 -78.0906
74.954330 56.513 -82.8955
75.497482 54.864 -78.7041
76.044571 52.564 -41.7747
76.595619 50.964 -3.7529
77.150665 49.664 -4.3988
77.709732 47.606 -26.3108
78.272850 45.198 -121.5420
78.840050 43.462 -172.6143
79.411354 42.586 169.4268
79.986801 42.650 149.4290
80.566422 43.561 115.8252
81.150238 44.500 79.8621
81.738289 44.581 56.2444
82.330597 43.549 48.6416
82.927200 42.668 92.3335
83.528122 43.472 113.1821
84.133400 45.222 38.9873
84.743065 46.970 -37.0852
85.357147 47.970 -71.8840
85.975677 48.546 -101.6787
86.598694 50.302 -77.8540
87.226227 53.139 -51.5957
87.858307 55.196 -60.3582
88.494965 55.538 -67.6553
89.136238 54.145 -64.7754
89.782158 51.600 -44.2388
90.432755 48.748 -29.5889
91.088066 46.701 -87.5125
91.748131 46.955 -119.0022
92.412979 48.552 -99.5168
93.082642 49.564 -88.1287
93.757156 48.992 -85.8018
94.436562 47.091 -70.4021
95.120888 45.485 26.8755
95.810173 45.169 20.3643
96.504456 45.758 -78.1655
97.203766 46.791 -167.4307
97.908142 47.310 153.1145
98.617622 47.075 118.3782
99.332245 47.479 97.2065
100.052048 50.224 -99.8806
100.777069 53.547 -103.7522
101.507339 55.523 -111.5940
102.242905 55.583 -116.6331
102.983795 54.091 -106.2163
103.730057 52.402 -82.4824
104.481728 51.354 -90.2925
105.238846 50.910 -97.8328
106.001450 51.857 -73.0303
106.769577 53.571 -87.2378
107.543274 54.940 -166.1404
108.322578 55.602 137.1108
109.107529 55.001 109.2874
109.898170 53.283 83.6855
110.694534 52.112 67.9702
111.496674 52.431 70.8186
112.304626 52.598 83.0112
113.118431 51.871 102.9700
113.938133 50.448 127.9417
114.763779 49.151 -104.0410
115.595406 48.552 -63.3381
116.433060 48.295 -27.7673
117.276779 49.157 -12.9980
118.126617 51.532 -83.2590
118.982613 53.872 -100.6648
119.844810 54.833 -99.1135
120.713257 54.309 -99.6704
121.587997 53.333 -140.4961
122.469070 53.125 145.4988
123.356529 52.740 122.6470
124.250420 51.177 93.2373
125.150787 49.119 48.9397
126.057678 48.424 178.7852
126.971146 49.215 165.1106
127.891228 49.651 150.6123
128.817978 49.125 138.2158
129.751450 48.155 148.2466
130.691681 47.495 160.9624
131.638733 46.921 137.2288
132.592636 47.352 112.1855
133.553452 49.733 159.1824
134.521240 52.662 -143.9502
135.496033 54.870 -153.0884
136.477890 56.124 171.9038
137.466858 56.395 149.0659
138.462997 55.491 158.0056
139.466354 53.887 -146.8979
140.476990 52.385 -124.6182
141.494949 51.989 108.4521
142.520279 52.605 112.5906
143.553040 52.719 112.6965
144.593277 52.228 114.4873
145.641052 52.650 145.1199
146.696426 53.948 148.6799
147.759445 54.893 144.8835
148.830170 54.800 138.7964
149.908661 53.737 142.8376
150.994965 52.569 155.0320
152.089142 52.120 -151.7515
153.191238 52.505 -145.6125
154.301331 52.605 -158.8291
155.419464 52.201 -165.9531
156.545700 52.121 -170.9351
157.680099 52.789 -146.7854
158.822708 54.715 -148.0146
159.973602 58.687 163.0813
161.132843 63.953 -90.4167
162.300476 69.219 -1.5469
163.476578 73.757 168.8655
164.661194 76.970 -166.8003
165.854401 78.205 -169.5630
167.056244 77.080 -174.8062
168.266800 73.953 -171.8115
169.486130 69.560 39.9561
170.714294 64.977 -152.1973
171.951355 61.838 -160.7842
173.197388 60.393 -172.0981
174.452454 59.160 -163.6589
175.716614 57.825 -123.5024
176.989929 56.995 -49.0334
178.272476 56.137 -49.5128
179.564316 54.793 149.0864
180.865509 54.474 113.7896
182.176132 55.991 38.2476
183.496262 57.508 -44.7988
184.825958 57.695 -62.4785
186.165283 56.614 -81.1799
187.514313 55.067 -105.0669
188.873123 53.357 -120.5369
190.241776 52.450 -141.7622
191.620346 53.352 -141.9753
193.008911 55.138 -36.1172
194.407532 56.653 -19.3599
195.816284 57.485 -43.7451
197.235245 58.044 -62.3516
198.664490 58.256 4.5337
200.104095 58.047 122.2568
201.554138 57.290 175.4507
203.014679 57.016 -102.9895
204.485809 58.631 -80.5864
205.967590 60.840 -46.4244
207.460114 62.311 -1.6246
208.963455 62.609 0.4785
210.477692 61.800 -38.6090
212.002899 61.025 -26.0122
213.539154 60.870 -9.6744
215.086548 60.096 -38.4471
216.645157 58.379 -151.7583
218.215057 56.855 149.7349
219.796341 56.516 124.0303
221.389069 56.815 134.2305
222.993347 56.431 150.1228
224.609253 55.608 140.7227
226.236862 55.315 18.6453
227.876266 55.040 -8.3494
229.527557 53.778 -22.1316
231.190811 51.878 -10.5295
232.866119 50.631 30.4382
234.553558 49.931 45.3970
236.253235 49.992 -66.0540
237.965225 51.575 -37.7786
239.689621 53.987 -1.8223
241.426514 55.724 -3.3755
243.175995 55.760 -33.5632
244.938141 54.440 -60.2214
246.713058 53.029 -54.8945
248.500839 51.823 -74.7605
250.301575 50.485 0.2375
252.115356 49.141 28.9299
253.942291 48.041 36.1414
255.782455 47.267 14.3049
257.635956 46.698 3.5862
259.502899 46.643 27.8281
261.383362 46.236 22.5100
263.277466 45.001 17.6814
265.185272 44.020 0.9312
267.106903 44.556 -149.5667
269.042480 45.884 -170.4976
270.992065 46.645 -156.8230
272.955780 46.511 -161.2961
274.933716 45.771 -151.6182
276.925995 45.359 -132.5859
278.932709 46.088 -25.2571
280.953979 47.081 37.5349
282.989899 47.492 37.6682
285.040558 46.846 37.2109
287.106079 45.426 -93.7900
289.186554 44.564 -89.8672
291.282104 45.207 -109.8806
293.392853 46.453 -140.1433
295.518890 47.540 -120.7798
297.660339 48.045 -7.6738
299.817322 47.578 60.1689
301.989929 46.552 111.3887
304.178284 45.537 133.5088
306.382477 44.652 150.4265
308.602661 44.149 166.3164
310.838928 43.722 142.5415
313.091400 43.119 -29.6790
315.360199 43.494 -95.6016
317.645416 45.381 147.3989
319.947205 47.868 -97.6768
322.265686 51.323 -71.1768
324.600952 55.929 -83.8215
326.953156 60.483 10.9263
329.322388 63.853 34.7285
331.708801 65.198 37.9683
334.112488 64.054 35.7258
336.533600 60.819 4.0461
338.972260 56.403 -47.3044
341.428589 52.309 127.2061
343.902710 50.060 123.9824
346.394775 49.154 116.5718
348.904907 48.620 153.4592
351.433228 48.325 -155.0095
353.979858 49.115 150.0703
356.544952 50.321 125.8457
359.128632 50.864 106.3706
