* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 17, 2024 5:40:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Fan 3
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 66.527 173.4391
20.507813 68.577 167.8579
20.874023 69.540 166.7830
21.240234 69.821 166.8424
21.606445 69.579 167.1259
21.972656 69.048 167.5973
22.338867 68.557 167.7831
22.705078 68.282 166.7253
23.071289 68.031 164.6858
23.437500 67.369 164.4002
23.803711 65.981 171.5935
24.169922 64.761 -165.4541
24.536133 66.241 -135.5516
24.902344 68.894 -118.8675
25.268555 70.532 -110.7611
25.634766 70.840 -103.7910
26.000977 70.048 -92.7088
26.367188 68.981 -73.2176
26.733399 69.123 -49.1039
27.099610 70.315 -32.8139
27.465821 71.091 -26.9521
27.832032 70.746 -28.3344
28.198243 69.013 -34.8222
28.564454 65.625 -45.1748
28.930665 60.082 -55.6264
29.296876 52.801 -37.5852
29.663087 56.921 -1.8123
30.029298 62.333 -15.0679
30.395509 65.282 -36.1241
30.761720 66.134 -59.3653
31.127931 64.917 -87.5481
31.494142 61.825 -130.4984
31.860353 60.505 160.9454
32.226563 62.987 105.3422
32.592774 64.337 66.5542
32.958985 63.904 29.2604
33.325196 62.355 -14.5671
33.691407 61.054 -67.4368
34.057618 61.005 -121.3190
34.423829 61.475 -168.6161
34.790040 61.612 150.9721
35.156251 60.872 117.0995
35.522462 58.511 90.9599
35.888673 53.077 82.7601
36.254884 50.908 140.3264
36.621095 57.777 148.8062
36.987306 61.198 131.3434
37.353517 62.561 108.9548
37.719728 62.547 84.7027
38.085939 61.409 59.4651
38.452150 59.218 34.1882
38.818361 55.898 11.8871
39.184572 51.470 3.4059
39.550783 49.948 24.3379
39.916994 53.680 27.3040
40.283205 56.509 7.4776
40.649416 57.958 -22.4166
41.015627 58.867 -59.1729
41.381838 59.981 -97.5256
41.748049 60.961 -131.1069
42.114260 60.832 -158.9470
42.480471 58.538 176.4548
42.846682 51.213 148.6988
43.212893 47.806 -21.6356
43.579103 57.467 -53.5824
43.945314 60.165 -76.4484
44.311525 60.036 -101.1477
44.677736 57.863 -132.3142
45.043947 54.525 -176.8339
45.410158 52.082 126.5642
45.776369 49.846 70.5203
46.142580 47.072 -10.5011
46.508791 52.325 -89.5975
46.875002 57.051 -128.3811
47.241213 59.524 -156.8081
47.607424 60.570 177.3037
47.973635 60.698 151.9818
48.339846 60.175 126.8424
48.706057 59.049 101.5732
49.072268 57.220 74.5421
49.438479 54.693 41.3181
49.804690 52.464 -4.2719
50.170901 52.458 -54.4569
50.537112 53.411 -94.3046
50.903323 53.489 -127.8956
51.269534 52.458 -162.6364
51.635745 50.837 157.8641
52.001956 49.013 116.2296
52.368167 45.862 74.6609
52.734378 39.300 8.1936
53.100589 42.577 -94.7407
53.466800 46.335 -132.7725
53.833011 44.196 -157.3574
54.199222 28.768 15.3615
54.565432 49.985 -14.0844
54.931643 55.753 -33.6881
55.297854 58.297 -53.6912
55.664065 58.876 -75.1318
56.030276 57.794 -99.1040
56.396487 54.885 -127.7109
56.762698 49.142 -170.0203
57.128909 45.050 83.5356
57.495120 52.132 17.3591
57.861331 55.879 -15.0918
58.227542 57.274 -39.9985
58.593753 56.660 -60.7649
58.959964 53.472 -76.3564
59.326175 45.207 -66.2053
59.692386 48.426 14.7393
60.058597 54.396 7.2156
60.424808 56.615 -16.1980
60.791019 57.286 -47.8425
61.157230 57.721 -85.4924
61.523441 58.520 -122.7983
61.889652 59.146 -154.9182
62.255863 58.872 177.4233
62.622074 57.225 151.0867
62.988285 53.746 120.2388
63.354496 48.895 67.0981
63.720707 49.562 -3.8677
64.086918 52.160 -39.8894
64.453129 52.336 -60.0989
64.819340 49.532 -74.6780
65.185551 39.161 -85.0962
65.551762 44.085 77.9126
65.917972 51.793 66.3350
66.284183 54.616 51.8423
66.650394 55.251 32.9917
67.016605 54.591 6.5376
67.382816 53.891 -29.0366
67.749027 54.159 -64.7634
68.115238 54.248 -91.3511
68.481449 52.587 -109.8857
68.847660 47.352 -122.8076
69.213871 18.747 -33.1633
69.580082 45.637 34.8516
69.946293 48.655 32.4460
70.312504 47.296 36.5334
70.678715 41.977 62.9355
71.044926 41.757 149.7339
71.411137 48.519 -174.0286
71.777348 52.716 -160.2173
72.143559 55.145 -154.2678
72.509770 55.855 -152.9534
72.875981 54.453 -153.4573
73.242192 49.558 -149.1091
73.608403 41.451 -67.8979
73.974614 51.327 -23.8042
74.340825 55.339 -26.5806
74.707036 56.714 -35.1907
75.073247 56.736 -46.2595
75.439458 56.150 -58.9175
75.805669 55.552 -72.3662
76.171880 55.201 -85.6948
76.538091 54.825 -98.6006
76.904301 53.782 -111.5691
77.270512 51.149 -125.5864
77.636723 44.651 -144.5063
78.002934 36.180 66.4775
78.369145 48.269 29.4041
78.735356 52.051 15.5593
79.101567 53.461 6.6936
79.467778 53.961 3.5210
79.833989 54.709 5.1594
80.200200 56.215 5.7795
80.566411 57.867 1.2576
80.932622 58.936 -7.2690
81.298833 58.991 -17.0908
81.665044 57.636 -25.0425
82.031255 54.261 -23.9404
82.397466 50.273 12.3616
82.763677 54.232 52.1604
83.129888 57.923 55.2759
83.496099 59.223 48.6409
83.862310 58.431 39.5725
84.228521 55.232 30.8684
84.594732 47.873 29.1638
84.960943 38.717 118.8687
85.327154 44.474 137.3989
85.693365 40.614 78.8953
86.059576 49.525 -10.6116
86.425787 55.982 -34.7578
86.791998 58.736 -50.7556
87.158209 59.017 -65.1646
87.524420 56.959 -79.5894
87.890631 51.838 -95.4458
88.256841 39.941 -119.3027
88.623052 33.551 60.1233
88.989263 34.936 -47.6482
89.355474 47.431 -113.9250
89.721685 52.990 -136.9448
90.087896 54.668 -156.7102
90.454107 53.370 179.1235
90.820318 49.765 135.3918
91.186529 50.073 69.3625
91.552740 52.689 36.2634
91.918951 52.594 26.0886
92.285162 50.204 38.6733
92.651373 50.357 75.3220
93.017584 53.218 91.2988
93.383795 54.220 89.9360
93.750006 52.986 81.1511
94.116217 49.848 64.3159
94.482428 46.828 32.6909
94.848639 47.896 3.4924
95.214850 50.861 -5.4109
95.581061 53.369 -7.9941
95.947272 54.611 -11.1353
96.313483 54.201 -14.7568
96.679694 51.844 -15.7590
97.045905 47.560 -5.0359
97.412116 45.017 25.6704
97.778327 46.209 30.9426
98.144538 47.607 0.7429
98.510749 50.755 -38.1516
98.876960 53.854 -65.1548
99.243170 55.179 -84.1418
99.609381 54.082 -99.8943
99.975592 48.487 -115.6362
100.341803 40.650 65.7405
100.708014 54.247 45.1267
101.074225 58.604 32.0222
101.440436 60.182 19.8066
101.806647 59.823 8.3672
102.172858 57.452 -1.2610
102.539069 51.993 -3.3528
102.905280 43.935 58.3677
103.271491 51.494 101.3037
103.637702 54.802 94.2551
104.003913 55.330 78.7749
104.370124 54.076 57.2083
104.736335 51.663 26.6208
105.102546 49.473 -15.0889
105.468757 48.626 -56.9172
105.834968 47.363 -89.9053
106.201179 43.307 -123.6624
106.567390 37.891 147.0212
106.933601 45.470 82.5737
107.299812 49.242 63.9832
107.666023 49.912 56.6550
108.032234 48.044 63.1111
108.398445 46.410 102.0779
108.764656 50.843 136.2910
109.130867 54.862 141.7649
109.497078 57.034 137.2668
109.863289 57.756 127.9915
110.229500 57.284 114.4023
110.595710 55.817 95.1794
110.961921 53.718 68.4966
111.328132 51.520 35.0781
111.694343 48.967 -1.0901
112.060554 44.216 -46.3987
112.426765 41.629 -148.3027
112.792976 48.451 150.7405
113.159187 51.767 117.4238
113.525398 52.784 84.3098
113.891609 52.898 45.0725
114.257820 53.318 3.0269
114.624031 53.607 -34.3447
114.990242 52.341 -69.6934
115.356453 48.998 -120.8708
115.722664 50.147 161.8147
116.088875 54.446 120.8215
116.455086 56.109 99.7314
116.821297 54.871 87.1482
117.187508 49.263 88.5803
117.553719 45.446 -177.1069
117.919930 54.064 -154.6462
118.286141 57.147 -156.1355
118.652352 57.582 -157.9573
119.018563 56.261 -155.6934
119.384774 53.848 -146.7156
119.750985 50.967 -133.5591
120.117196 46.095 -125.3049
120.483407 28.179 82.3276
120.849618 49.785 57.1707
121.215829 55.178 48.1091
121.582040 57.301 36.0156
121.948250 57.418 19.4180
122.314461 56.139 -4.8672
122.680672 54.739 -39.8838
123.046883 54.820 -76.2305
123.413094 55.360 -100.5620
123.779305 54.939 -113.6055
124.145516 53.282 -119.0859
124.511727 50.424 -121.8857
124.877938 45.684 -137.0708
125.244149 43.734 148.1333
125.610360 51.133 105.7183
125.976571 55.452 88.7764
126.342782 57.345 74.0234
126.708993 57.380 57.0586
127.075204 55.801 34.7729
127.441415 53.069 2.5542
127.807626 50.594 -41.0757
128.173837 48.950 -84.9014
128.540048 46.181 -128.4102
128.906259 43.562 165.5000
129.272470 46.443 109.2544
129.638681 48.386 86.8110
130.004892 47.949 81.7148
130.371103 46.438 91.1304
130.737314 45.572 102.6362
131.103525 43.751 92.9219
131.469736 41.801 30.5898
131.835947 48.263 -26.2461
132.202158 52.651 -50.5684
132.568369 54.142 -70.1387
132.934579 53.114 -93.3076
133.300790 49.731 -132.9336
133.667001 49.014 155.9463
134.033212 52.694 108.2979
134.399423 54.538 80.3936
134.765634 54.367 56.8022
135.131845 52.642 33.6167
135.498056 49.718 13.4268
135.864267 46.046 11.3745
136.230478 46.508 40.3755
136.596689 51.023 48.9160
136.962900 53.720 42.2876
137.329111 54.093 32.6685
137.695322 51.825 23.8804
138.061533 44.917 22.3647
138.427744 37.864 139.5903
138.793955 46.871 157.3721
139.160166 47.871 155.7969
139.526377 44.847 160.7197
139.892588 39.657 -169.2212
140.258799 36.805 -138.4146
140.625010 30.704 106.5820
140.991221 46.584 66.4702
141.357432 52.479 54.6890
141.723643 54.712 43.3896
142.089854 54.112 31.3799
142.456065 49.885 17.3896
142.822276 33.304 -29.5146
143.188487 45.941 -173.2563
143.554698 48.973 170.1885
143.920909 45.451 153.5425
144.287119 31.739 15.5352
144.653330 47.531 -35.9438
145.019541 50.257 -49.6230
145.385752 47.458 -59.7280
145.751963 25.916 12.8823
146.118174 48.746 91.1533
146.484385 53.334 85.4106
146.850596 53.943 82.6987
147.216807 52.029 90.9585
147.583018 50.333 121.7803
147.949229 52.302 148.6685
148.315440 53.772 154.8271
148.681651 53.014 153.3599
149.047862 49.594 152.7720
149.414073 42.535 170.4600
149.780284 40.376 -120.1753
150.146495 42.972 -103.9224
150.512706 40.345 -113.7847
150.878917 33.610 169.5264
151.245128 42.991 109.7822
151.611339 48.112 103.0146
151.977550 50.845 102.7622
152.343761 52.020 102.7959
152.709972 51.292 101.7129
153.076183 46.951 101.7798
153.442394 33.214 -143.2539
153.808605 50.127 -103.6475
154.174816 54.955 -105.2051
154.541027 56.493 -106.5000
154.907238 55.905 -103.0869
155.273448 53.940 -88.5332
155.639659 52.803 -59.9673
156.005870 53.597 -36.2705
156.372081 53.798 -23.9663
156.738292 52.334 -13.3521
157.104503 49.846 5.4761
157.470714 48.733 29.5454
157.836925 48.674 35.9297
158.203136 47.764 17.2910
158.569347 47.935 -22.0166
158.935558 50.033 -54.0039
159.301769 51.030 -70.0415
159.667980 49.865 -72.8384
160.034191 47.492 -52.8843
160.400402 49.101 -19.6167
160.766613 52.382 -12.2954
161.132824 54.110 -20.0444
161.499035 54.422 -33.5947
161.865246 53.599 -48.0791
162.231457 51.588 -57.6499
162.597668 48.385 -50.7139
162.963879 47.493 -16.7358
163.330090 50.410 4.4893
163.696301 51.958 10.3149
164.062512 51.205 17.2368
164.428723 48.945 41.1743
164.794934 49.917 82.3047
165.161145 53.173 102.1445
165.527356 54.983 108.3984
165.893567 55.342 111.6514
166.259778 54.796 115.0679
166.625988 53.804 117.4556
166.992199 52.368 114.8984
167.358410 49.999 103.4233
167.724621 46.174 77.4980
