* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 29, 2024 4:02:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: sweep taken 0.5m from microphone, fan was run in oven for roughly a week at ~90degC; 
* Measurement: Bad Fan 4 -- Post-Oven
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 47.350 157.7612
20.287556 49.151 140.4365
20.434568 51.109 134.1192
20.582645 52.633 129.5642
20.731796 53.473 125.8641
20.882027 53.914 120.8324
21.033346 54.028 113.1161
21.185762 54.031 102.3250
21.339283 54.252 87.0434
21.493916 54.744 67.4688
21.649670 55.650 48.4258
21.806553 56.981 31.3886
21.964573 58.342 18.6492
22.123737 59.475 8.5901
22.284056 60.345 0.2467
22.445536 60.829 -6.8000
22.608185 60.911 -13.9187
22.772013 60.532 -20.8098
22.937029 59.672 -29.2719
23.103241 58.395 -39.8802
23.270657 56.656 -56.9700
23.439285 55.368 -87.5171
23.609137 55.481 -129.9749
23.780218 56.457 -160.0304
23.952539 57.618 -175.1485
24.126110 58.615 175.7466
24.300938 58.892 171.1885
24.477032 58.442 168.9354
24.654402 57.161 171.0637
24.833057 55.439 -178.9609
25.013008 54.731 -149.4991
25.194263 55.395 -101.0040
25.376831 57.117 -77.6309
25.560722 59.275 -67.8273
25.745945 60.783 -61.9272
25.932510 61.632 -57.0304
26.120428 62.042 -50.8555
26.309708 62.145 -42.7744
26.500359 62.247 -32.4410
26.692390 62.446 -20.3609
26.885815 62.873 -9.3313
27.080641 63.389 -0.1970
27.276878 63.772 5.7695
27.474539 63.886 9.6231
27.673630 63.591 11.5426
27.874165 62.817 12.5326
28.076153 61.514 12.8155
28.279604 59.613 13.1967
28.484529 57.083 14.2461
28.690941 53.916 16.3256
28.898848 50.488 19.3935
29.108261 48.197 14.1549
29.319191 48.440 -4.6497
29.531651 51.271 -21.8270
29.745649 54.270 -31.1896
29.961199 56.593 -37.4119
30.178310 58.098 -42.8381
30.396996 58.781 -48.0830
30.617264 58.648 -53.8228
30.839128 57.609 -59.8562
31.062601 55.659 -68.1600
31.287693 53.250 -82.2108
31.514416 51.734 172.4626
31.742783 52.804 118.2230
31.972803 54.244 107.2901
32.204491 54.911 99.1370
32.437859 54.368 92.5961
32.672916 52.636 87.0390
32.909679 50.109 84.4541
33.148155 49.168 -156.4717
33.388359 50.171 -132.5339
33.630306 52.070 -143.0354
33.874004 53.429 -160.9807
34.119469 54.594 172.7928
34.366711 56.049 140.6514
34.615746 57.774 115.1784
34.866585 59.385 98.2955
35.119244 60.546 86.6996
35.373734 61.090 79.0341
35.630066 60.971 73.9509
35.888256 60.152 71.1543
36.148315 58.582 71.8257
36.410259 56.312 78.5119
36.674103 53.954 101.1952
36.939857 52.687 150.3528
37.207539 53.095 -177.8356
37.477161 53.924 -164.1270
37.748737 54.227 -155.5347
38.022282 53.810 -146.6239
38.297806 52.863 -134.5349
38.575329 51.717 -117.3337
38.854862 50.692 -95.7281
39.136421 49.965 -75.4416
39.420021 49.177 -60.1531
39.705673 47.905 -47.7422
39.993397 45.998 -33.2174
40.283207 43.897 -0.1956
40.575115 43.276 68.2537
40.869141 44.059 99.3010
41.165295 44.838 113.7460
41.463596 44.937 128.6467
41.764057 44.817 153.3865
42.066696 45.457 -174.0590
42.371529 46.676 -153.4251
42.678570 47.575 -144.9357
42.987835 47.606 -142.4777
43.299343 46.541 -143.1135
43.613110 44.310 -145.8664
43.929150 41.015 -153.0885
44.247478 37.734 151.7361
44.568115 37.212 98.9203
44.891075 39.516 114.1319
45.216373 42.394 128.9325
45.544029 44.588 135.5411
45.874062 45.699 137.5723
46.206486 45.664 138.0956
46.541317 44.513 139.4465
46.878574 42.325 144.5597
47.218277 39.404 160.2477
47.560440 36.995 -149.6607
47.905083 37.249 -94.3326
48.252224 39.580 -81.6762
48.601879 42.254 -86.3024
48.954067 44.594 -98.3998
49.308807 46.393 -112.0688
49.666119 47.500 -123.8859
50.026020 47.789 -132.3947
50.388531 47.206 -136.4057
50.753666 45.883 -133.6706
51.121449 44.322 -121.9590
51.491894 43.197 -107.1976
51.865025 42.554 -101.6017
52.240860 41.866 -107.8534
52.619419 40.874 -123.0182
53.000721 39.648 -140.6668
53.384785 38.184 -152.6807
53.771633 36.329 -155.6409
54.161285 34.251 -145.5536
54.553761 33.524 -46.2085
54.949081 35.069 -7.2280
55.347263 37.105 -6.3320
55.748333 39.580 -35.6093
56.152309 42.908 176.4389
56.559212 45.883 165.4622
56.969063 47.553 154.5983
57.381886 47.912 139.3837
57.797699 47.930 100.3659
58.216526 49.070 3.1078
58.638386 50.742 -26.2372
59.063305 51.524 -39.5962
59.491302 50.888 -49.5665
59.922401 48.876 -60.3210
60.356625 46.411 -108.2408
60.793995 45.408 142.6609
61.234531 45.526 136.2631
61.678261 44.973 139.1253
62.125206 43.217 148.2842
62.575390 40.665 168.1197
63.028835 39.101 -55.5150
63.485569 40.002 -11.2340
63.945610 41.587 -4.1945
64.408989 42.757 -15.6295
64.875725 44.322 -92.2271
65.345840 46.356 -147.9770
65.819366 47.532 -163.4023
66.296318 47.308 -167.8840
66.776726 46.849 -123.5730
67.260620 47.696 -66.6334
67.748016 48.717 -77.5018
68.238945 49.062 -117.2145
68.733429 49.235 172.8154
69.231499 49.082 138.7220
69.733177 47.902 129.2051
70.238495 46.147 156.1854
70.747475 45.228 -162.5927
71.260139 44.617 -163.7596
71.776520 43.642 149.6871
72.296638 43.016 26.3364
72.820526 42.257 8.0787
73.348213 41.110 15.8503
73.879723 40.666 162.1739
74.415085 40.715 173.5432
74.954330 41.288 -138.6233
75.497482 42.301 -108.5632
76.044571 42.387 -98.1397
76.595619 41.244 -81.3648
77.150665 39.572 -52.2681
77.709732 37.673 -29.1732
78.272850 35.788 -7.9102
78.840050 36.102 -8.3137
79.411354 38.597 -55.1211
79.986801 40.669 -79.6589
80.566422 41.130 -91.5953
81.150238 39.792 -93.4994
81.738289 37.370 -73.9771
82.330597 35.569 -58.4491
82.927200 35.784 -100.2155
83.528122 37.555 -124.1273
84.133400 39.780 -113.9432
84.743065 41.663 -103.9059
85.357147 42.338 -107.7693
85.975677 41.492 -126.8381
86.598694 39.772 167.1951
87.226227 38.357 95.3417
87.858307 38.532 -92.3369
88.494965 40.399 -109.4098
89.136238 42.150 -113.9451
89.782158 42.894 -117.8257
90.432755 42.420 -124.2434
91.088066 40.819 -129.4633
91.748131 39.212 -125.8391
92.412979 39.306 -131.6806
93.082642 40.279 -163.3325
93.757156 40.606 158.7106
94.436562 39.773 135.8344
95.120888 38.385 132.1435
95.810173 39.104 90.0049
96.504456 41.909 -10.1449
97.203766 44.043 -22.1066
97.908142 44.333 -37.3809
98.617622 42.773 -56.2340
99.332245 40.282 -64.7772
100.052048 38.843 -37.8898
100.777069 39.131 -62.9159
101.507339 39.381 -82.0553
102.242905 38.964 -97.8931
102.983795 38.515 -114.5000
103.730057 39.182 40.0523
104.481728 40.653 17.5693
105.238846 41.552 -16.6511
106.001450 41.846 -58.3765
106.769577 42.225 -81.2824
107.543274 42.736 -82.4064
108.322578 42.772 -72.3080
109.107529 42.281 -50.4453
109.898170 42.182 -24.9050
110.694534 43.736 55.8834
111.496674 46.547 142.9961
112.304626 48.775 135.0518
113.118431 49.683 114.5443
113.938133 49.341 89.6824
114.763779 48.065 73.6182
115.595406 46.904 84.3533
116.433060 47.809 -138.1386
117.276779 50.806 -148.0775
118.126617 54.716 -172.4638
118.982613 58.000 170.4848
119.844810 59.616 159.9789
120.713257 59.197 153.8553
121.587997 56.944 154.8588
122.469070 53.509 153.4417
123.356529 49.758 132.9594
124.250420 46.463 133.1059
125.150787 44.237 -169.0459
126.057678 42.955 -129.1176
126.971146 41.417 -110.6403
127.891228 39.923 -19.5816
128.817978 40.705 -21.5334
129.751450 43.700 -37.0782
130.691681 46.248 -39.5102
131.638733 46.975 -50.7809
132.592636 45.777 -69.7693
133.553452 43.740 -87.8837
134.521240 42.269 -94.9966
135.496033 40.695 -97.9576
136.477890 38.620 -72.3690
137.466858 37.782 -21.4413
138.462997 38.359 -26.1783
139.466354 39.635 -121.7902
140.476990 41.636 -131.6720
141.494949 43.119 -119.5567
142.520279 43.343 -113.3240
143.553040 43.214 49.6583
144.593277 43.273 58.0032
145.641052 42.698 60.6621
146.696426 40.803 59.1868
147.759445 37.839 81.9393
148.830170 35.068 54.1875
149.908661 34.418 167.2141
150.994965 35.731 -143.0471
152.089142 36.913 -132.0727
153.191238 37.702 -123.4106
154.301331 39.038 -130.3505
155.419464 40.883 -136.4241
156.545700 42.571 -84.5004
157.680099 43.825 -16.6886
158.822708 44.238 -12.6843
159.973602 44.497 12.2227
161.132843 45.389 130.3105
162.300476 46.018 132.9876
163.476578 46.099 -103.5715
164.661194 45.542 -99.1820
165.854401 44.137 -117.6487
167.056244 43.097 -163.7386
168.266800 42.933 -176.9586
169.486130 42.882 105.8486
170.714294 43.477 40.4528
171.951355 45.051 -76.9068
173.197388 47.167 -100.5379
174.452454 49.863 -152.9451
175.716614 52.274 -134.3845
176.989929 53.622 -120.9564
178.272476 54.019 -158.1064
179.564316 53.928 103.5110
180.865509 53.132 90.1437
182.176132 51.244 82.5981
183.496262 48.967 -168.7317
184.825958 48.310 -170.0244
186.165283 49.032 177.7073
187.514313 49.855 163.4532
188.873123 50.957 23.1184
190.241776 51.723 31.4709
191.620346 51.713 52.0151
193.008911 51.073 70.5222
194.407532 50.202 78.8534
195.816284 49.431 60.4529
197.235245 48.506 40.9480
198.664490 46.683 26.9571
200.104095 44.034 -47.3233
201.554138 41.233 -92.4372
203.014679 39.165 -114.6739
204.485809 38.962 -105.0841
205.967590 39.795 167.0669
207.460114 40.792 115.0830
208.963455 42.006 39.0580
210.477692 42.854 39.0414
212.002899 43.617 66.5011
213.539154 45.450 108.0859
215.086548 48.018 93.7290
216.645157 49.918 87.5296
218.215057 50.559 76.3796
219.796341 50.516 24.5239
221.389069 49.854 -14.9360
222.993347 48.789 -41.6935
224.609253 48.578 -75.0046
226.236862 48.934 -75.0204
227.876266 48.680 -45.0800
229.527557 47.908 -33.7323
231.190811 47.263 -43.2242
232.866119 46.980 -6.1024
234.553558 46.695 -9.7079
236.253235 45.676 2.1118
237.965225 43.734 45.2686
239.689621 42.443 59.6605
241.426514 44.099 111.2708
243.175995 46.786 140.9221
244.938141 48.819 82.6143
246.713058 49.788 31.2461
248.500839 49.328 40.1819
250.301575 48.130 75.0234
252.115356 47.526 98.3748
253.942291 46.874 91.2071
255.782455 45.509 87.6537
257.635956 45.008 91.2365
259.502899 45.905 80.6215
261.383362 46.642 79.2958
263.277466 46.880 97.6367
265.185272 46.633 -125.5184
267.106903 46.070 -109.6370
269.042480 45.581 -132.5209
270.992065 46.061 167.0285
272.955780 47.779 132.5933
274.933716 49.187 111.6661
276.925995 49.162 76.1819
278.932709 48.534 -6.0826
280.953979 49.247 -51.5210
282.989899 50.974 110.2617
285.040558 52.446 88.3999
287.106079 52.674 73.7646
289.186554 51.533 73.9566
291.282104 49.972 91.9766
293.392853 49.035 109.5886
295.518890 49.829 83.4409
297.660339 51.828 60.8880
299.817322 53.645 42.4453
301.989929 55.166 36.5214
304.178284 56.365 65.2171
306.382477 57.183 90.6218
308.602661 57.533 81.2452
310.838928 57.391 64.0640
313.091400 56.720 46.8092
315.360199 55.699 28.1284
317.645416 54.699 33.2659
319.947205 54.183 25.8629
322.265686 53.693 19.9416
324.600952 52.767 24.2246
326.953156 52.656 0.7037
329.322388 53.812 -55.6042
331.708801 54.894 -70.2616
334.112488 55.601 95.4372
336.533600 56.301 64.6030
338.972260 56.886 32.9402
341.428589 57.476 23.2619
343.902710 58.168 25.8080
346.394775 58.768 22.4718
348.904907 59.454 -24.2966
351.433228 59.869 -57.5419
353.979858 59.211 -69.7487
356.544952 57.423 -72.4543
