* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 29, 2024 4:07:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: sweep taken 0.5m from microphone, fan was run in oven for roughly a week at ~90degC; 
* Measurement: Good Fan 1 -- Post-Oven
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 45.739 -144.1917
20.287556 45.257 -146.2376
20.434568 45.015 -124.6968
20.582645 46.359 -96.4553
20.731796 49.457 -81.1035
20.882027 52.357 -77.8196
21.033346 54.403 -79.7988
21.185762 55.857 -83.1829
21.339283 56.767 -87.5926
21.493916 57.138 -93.4699
21.649670 57.028 -99.5131
21.806553 56.438 -107.4717
21.964573 55.417 -117.2945
22.123737 53.924 -130.4190
22.284056 52.355 -152.0156
22.445536 51.535 176.7303
22.608185 51.538 138.7548
22.772013 52.085 113.6660
22.937029 52.990 96.6089
23.103241 53.599 85.5168
23.270657 53.636 76.6723
23.439285 53.067 69.2390
23.609137 51.827 63.2183
23.780218 49.875 57.3976
23.952539 46.944 53.9830
24.126110 44.010 58.1631
24.300938 43.666 -167.7362
24.477032 45.458 -158.8499
24.654402 47.154 -163.0112
24.833057 48.481 -170.3322
25.013008 49.161 -178.5116
25.194263 49.281 170.6017
25.376831 49.172 158.7308
25.560722 48.946 144.3477
25.745945 48.831 130.5571
25.932510 48.848 117.4236
26.120428 48.935 107.5444
26.309708 49.031 100.3092
26.500359 49.003 95.5962
26.692390 48.789 92.6175
26.885815 48.281 89.8839
27.080641 47.390 86.6883
27.276878 45.931 79.9609
27.474539 44.712 64.0762
27.673630 44.883 10.8986
27.874165 46.700 -44.6473
28.076153 49.662 -64.1672
28.279604 52.292 -73.7067
28.484529 54.212 -80.7279
28.690941 55.542 -86.7272
28.898848 56.323 -92.6309
29.108261 56.618 -98.5096
29.319191 56.439 -104.6284
29.531651 55.798 -111.2516
29.745649 54.683 -118.2161
29.961199 53.083 -126.2324
30.178310 50.969 -134.9779
30.396996 48.321 -145.7592
30.617264 45.104 -158.2399
30.839128 41.398 -174.4811
31.062601 37.554 173.2372
31.287693 36.139 -174.0211
31.514416 38.263 -151.4250
31.742783 42.160 -155.4711
31.972803 45.858 -166.7527
32.204491 48.965 -178.0938
32.437859 51.606 170.3597
32.672916 53.830 159.6232
32.909679 55.663 149.3199
33.148155 57.103 139.4117
33.388359 58.127 129.9302
33.630306 58.710 120.1082
33.874004 58.808 110.1694
34.119469 58.378 99.4655
34.366711 57.382 86.6251
34.615746 55.811 70.7523
34.866585 53.892 47.3760
35.119244 51.980 9.4401
35.373734 50.696 -32.3167
35.630066 49.658 -60.3660
35.888256 48.547 -77.7177
36.148315 47.870 -74.7480
36.410259 49.539 60.6804
36.674103 52.448 58.9196
36.939857 54.672 52.2685
37.207539 55.769 46.5847
37.477161 55.757 43.0092
37.748737 54.747 43.2778
38.022282 53.087 55.4175
38.297806 52.480 91.2923
38.575329 53.427 122.5066
38.854862 55.022 132.0280
39.136421 55.855 132.1160
39.420021 55.712 129.4174
39.705673 54.582 126.0895
39.993397 52.460 123.3152
40.283207 49.364 123.7642
40.575115 45.449 135.4886
40.869141 41.714 -152.2061
41.165295 39.588 -82.2706
41.463596 39.794 -53.4949
41.764057 41.271 -32.9818
42.066696 42.545 -23.7639
42.371529 42.813 -21.1371
42.678570 41.845 -19.1830
42.987835 39.973 -9.2695
43.299343 38.637 41.1435
43.613110 39.327 87.7039
43.929150 40.554 96.6292
44.247478 40.805 100.8507
44.568115 40.238 111.4819
44.891075 39.929 135.7522
45.216373 40.556 162.8127
45.544029 41.556 177.4970
45.874062 41.987 -175.0704
46.206486 41.577 -167.8684
46.541317 40.558 -155.7936
46.878574 39.435 -136.9031
47.218277 38.570 -116.9483
47.560440 37.726 -102.6888
47.905083 36.592 -95.8751
48.252224 35.590 -101.7280
48.601879 36.277 -136.2082
48.954067 38.734 -176.3376
49.308807 41.306 166.7985
49.666119 42.956 158.8953
50.026020 43.378 154.6913
50.388531 42.509 154.6981
50.753666 40.637 165.9496
51.121449 39.134 -143.6056
51.491894 39.151 -94.9004
51.865025 39.660 -78.6964
52.240860 39.478 -68.7628
52.619419 38.476 -61.4700
53.000721 36.839 -62.4589
53.384785 35.509 -102.4315
53.771633 35.849 170.5080
54.161285 36.774 148.7281
54.553761 37.444 130.0728
54.949081 39.029 -41.0754
55.347263 41.160 -61.1634
55.748333 42.598 -84.0378
56.152309 43.801 -146.4012
56.559212 45.561 146.7828
56.969063 47.433 132.0493
57.381886 49.486 146.1498
57.797699 52.460 -170.6205
58.216526 55.545 -153.9185
58.638386 57.660 -154.4807
59.063305 58.436 -159.9496
59.491302 57.815 -166.3371
59.922401 55.812 -170.4084
60.356625 52.639 -162.7849
60.793995 49.210 -111.4365
61.234531 46.825 -77.5309
61.678261 45.193 -70.5577
62.125206 43.991 -57.3973
62.575390 44.217 -40.7961
63.028835 45.171 -41.8029
63.485569 45.470 -57.9257
63.945610 45.032 -92.6779
64.408989 44.793 -142.5757
64.875725 45.667 -159.4193
65.345840 47.976 -134.4425
65.819366 50.896 -107.7351
66.296318 53.041 -101.6737
66.776726 53.743 -102.8748
67.260620 52.832 -105.7150
67.748016 50.401 -106.9686
68.238945 47.179 -83.7385
68.733429 45.006 75.8776
69.231499 45.488 140.3737
69.733177 47.553 -176.0960
70.238495 48.970 -165.7804
70.747475 48.839 -159.3589
71.260139 47.209 -146.3594
71.776520 44.740 -106.2915
72.296638 42.517 -56.4996
72.820526 41.132 -41.6249
73.348213 41.339 142.4596
73.879723 42.470 138.6396
74.415085 42.448 132.1943
74.954330 40.771 121.3777
75.497482 38.506 46.6658
76.044571 37.713 -56.0059
76.595619 39.196 108.6887
77.150665 41.054 98.1424
77.709732 41.514 87.0306
78.272850 40.253 70.8907
78.840050 37.872 22.7366
79.411354 35.609 -48.9250
79.986801 34.329 -49.5787
80.566422 34.136 -31.8598
81.150238 34.268 -33.1780
81.738289 33.930 -63.9029
82.330597 33.136 -109.6172
82.927200 31.833 -126.7834
83.528122 30.739 -106.1976
84.133400 31.777 -46.2584
84.743065 34.473 -13.2969
85.357147 36.876 -11.4310
85.975677 37.929 -23.6616
86.598694 37.671 -38.7954
87.226227 37.290 90.3828
87.858307 37.608 81.3701
88.494965 37.974 17.8042
89.136238 38.205 -51.0264
89.782158 38.125 -59.7969
90.432755 38.302 -13.6447
91.088066 39.279 35.3324
91.748131 40.147 61.7573
92.412979 40.339 79.8120
93.082642 39.563 90.6840
93.757156 38.893 120.1930
94.436562 40.376 139.0614
95.120888 42.657 113.4068
95.810173 44.341 84.5269
96.504456 45.816 7.7327
97.203766 47.481 -107.2756
97.908142 48.436 -134.3375
98.617622 47.892 -155.7942
99.332245 45.827 -169.2788
100.052048 43.012 -166.9118
100.777069 41.521 -49.5656
101.507339 42.250 11.9471
102.242905 42.662 17.6418
102.983795 41.705 40.9252
103.730057 40.257 106.4544
104.481728 39.159 179.1721
105.238846 38.322 -140.2646
106.001450 37.289 -121.9393
106.769577 37.542 -148.9305
107.543274 39.588 164.6143
108.322578 41.578 159.4871
109.107529 43.414 162.4496
109.898170 46.008 150.4565
110.694534 49.407 79.7426
111.496674 52.695 39.5696
112.304626 54.957 28.8134
113.118431 55.756 20.5438
113.938133 55.081 5.1130
114.763779 53.852 -27.1021
115.595406 53.839 -48.4273
116.433060 54.622 -47.8699
117.276779 55.093 -25.8459
118.126617 55.893 19.1509
118.982613 56.817 28.6160
119.844810 57.264 28.3752
120.713257 57.173 28.4604
121.587997 56.189 31.4784
122.469070 54.338 55.0082
123.356529 52.453 97.3530
124.250420 50.727 119.7786
125.150787 48.831 155.7986
126.057678 47.504 -106.5966
126.971146 47.235 -59.7511
127.891228 47.649 2.9882
128.817978 48.446 59.2887
129.751450 49.070 99.0003
130.691681 49.143 128.6691
131.638733 48.571 144.2024
132.592636 48.075 126.0132
133.553452 48.126 52.7112
134.521240 48.176 57.9654
135.496033 48.215 142.6948
136.477890 48.413 -108.4028
137.466858 48.780 108.4116
138.462997 48.884 100.2228
139.466354 48.242 107.0451
140.476990 47.581 97.8111
141.494949 47.930 15.2866
142.520279 48.967 31.0146
143.553040 49.849 24.6440
144.593277 49.992 -39.7233
145.641052 49.548 -36.3402
146.696426 48.779 -6.5685
147.759445 47.366 -13.0172
148.830170 45.633 155.7315
149.908661 44.679 124.6790
150.994965 44.844 67.7034
152.089142 45.519 52.5688
153.191238 46.895 88.2630
154.301331 48.736 130.1882
155.419464 50.150 162.0467
156.545700 50.084 168.8771
157.680099 48.451 -154.7230
158.822708 46.082 -129.4507
159.973602 43.905 112.6430
161.132843 42.330 91.0137
162.300476 40.983 64.8338
163.476578 40.296 27.4182
164.661194 40.967 -74.1295
165.854401 42.206 -108.3745
167.056244 43.552 -104.6630
168.266800 44.773 -99.3969
169.486130 44.856 -115.6337
170.714294 44.003 -149.8511
171.951355 43.407 -155.0571
173.197388 43.681 -104.8378
174.452454 44.935 -49.8523
175.716614 46.933 -29.4730
176.989929 49.194 -31.0932
178.272476 51.129 -48.4076
179.564316 52.129 -76.7862
180.865509 52.213 -108.8850
182.176132 51.866 -135.8347
183.496262 51.006 -157.3563
184.825958 49.793 -173.5278
186.165283 48.716 178.3375
187.514313 47.726 160.5047
188.873123 47.491 128.2237
190.241776 47.610 120.5719
191.620346 47.040 111.4435
193.008911 47.291 -56.2361
194.407532 48.883 -120.9922
195.816284 49.739 -154.1916
197.235245 48.930 -178.8755
198.664490 46.610 160.9916
200.104095 43.449 175.9432
201.554138 40.603 -164.3337
203.014679 38.962 -155.5271
204.485809 38.787 -144.7869
205.967590 40.282 -121.9409
207.460114 43.044 -86.4147
208.963455 45.945 -84.3969
210.477692 47.774 -110.3623
212.002899 48.107 -123.2336
213.539154 47.305 -116.3783
215.086548 46.254 -113.9741
216.645157 45.989 154.3010
218.215057 47.526 149.6017
219.796341 49.382 146.6241
221.389069 49.683 127.0563
222.993347 48.236 120.8629
224.609253 46.241 166.1955
226.236862 44.966 -118.7089
227.876266 44.445 -101.6752
229.527557 44.866 -105.8923
231.190811 45.735 -72.1822
232.866119 46.068 23.0222
234.553558 45.431 10.4631
236.253235 44.036 -12.0192
237.965225 42.580 16.5729
239.689621 41.644 26.6702
241.426514 41.869 3.1444
243.175995 42.871 26.6578
244.938141 43.424 59.1181
246.713058 43.555 141.6921
248.500839 44.250 143.7097
250.301575 46.027 30.3871
252.115356 47.959 42.5904
253.942291 49.139 77.6512
255.782455 49.383 90.7966
257.635956 49.123 86.7176
259.502899 49.087 106.9590
261.383362 48.943 150.9052
263.277466 48.202 166.1087
265.185272 48.011 -177.9702
267.106903 48.897 155.8828
269.042480 50.022 95.1743
270.992065 51.718 62.6628
272.955780 53.692 63.6001
274.933716 54.908 68.0993
276.925995 54.912 47.9165
278.932709 53.661 0.6179
280.953979 51.625 -91.1064
282.989899 49.723 -132.6996
285.040558 49.592 -179.1514
287.106079 51.890 178.0789
289.186554 54.084 -170.6536
291.282104 54.880 -152.4195
293.392853 54.114 -150.0217
295.518890 52.700 -112.4725
297.660339 52.965 -112.1362
299.817322 55.009 -115.3739
301.989929 57.050 -97.1316
304.178284 58.251 -89.9923
306.382477 58.363 -93.3419
308.602661 57.426 -95.1700
310.838928 56.068 -109.3274
313.091400 55.157 -141.2292
315.360199 54.538 -127.5479
317.645416 54.177 -99.5184
319.947205 53.964 -81.6947
322.265686 53.903 -72.9459
324.600952 54.104 -67.0777
326.953156 53.844 -55.0806
329.322388 53.307 -69.1913
331.708801 53.471 -77.5278
334.112488 54.630 -15.4531
336.533600 56.171 -0.6417
338.972260 57.505 1.2573
341.428589 58.751 -2.7595
343.902710 59.580 -12.8600
346.394775 59.754 -31.8298
348.904907 59.331 -25.5457
351.433228 58.134 -17.0646
353.979858 56.016 -12.7206
356.544952 53.885 15.7081
359.128632 53.132 26.5100
