* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 11, 2024 5:48:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: measured 0.5 m away from mic; 
* Measurement: Fan 5
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 60.692 98.1427
20.287556 60.111 91.4719
20.434568 59.345 82.6730
20.582645 58.265 73.2580
20.731796 56.703 59.7458
20.882027 55.155 41.3680
21.033346 53.906 11.5181
21.185762 53.368 -37.8489
21.339283 54.188 -78.2200
21.493916 55.999 -104.1372
21.649670 57.742 -120.0860
21.806553 59.165 -133.6265
21.964573 60.301 -144.6370
22.123737 61.111 -154.4015
22.284056 61.626 -163.6904
22.445536 61.881 -171.5997
22.608185 61.876 -179.5109
22.772013 61.622 173.7158
22.937029 61.121 167.3283
23.103241 60.390 161.7422
23.270657 59.429 157.3389
23.439285 58.319 153.8896
23.609137 57.109 152.4005
23.780218 55.992 152.6909
23.952539 55.239 154.3540
24.126110 54.927 156.9774
24.300938 55.154 157.9639
24.477032 55.784 157.5402
24.654402 56.520 155.0924
24.833057 57.272 151.4055
25.013008 57.875 147.4282
25.194263 58.294 143.1465
25.376831 58.474 139.7468
25.560722 58.404 136.8774
25.745945 58.074 135.6609
25.932510 57.510 136.1166
26.120428 56.813 139.1583
26.309708 56.102 145.3387
26.500359 55.682 153.9076
26.692390 55.612 163.7967
26.885815 55.903 171.6612
27.080641 56.365 176.9882
27.276878 56.710 179.1697
27.474539 56.818 179.3825
27.673630 56.563 177.8941
27.874165 55.851 175.9156
28.076153 54.601 173.6604
28.279604 52.646 173.3484
28.484529 50.129 179.0291
28.690941 48.866 -144.1665
28.898848 49.639 -80.4903
29.108261 51.918 -67.7656
29.319191 54.312 -67.1729
29.531651 55.804 -70.5924
29.745649 56.567 -74.9459
29.961199 56.637 -80.6154
30.178310 55.988 -86.4564
30.396996 54.572 -93.6442
30.617264 52.274 -103.2897
30.839128 50.660 -129.9692
31.062601 51.063 99.3288
31.287693 53.053 79.4335
31.514416 55.279 69.9930
31.742783 56.543 61.6367
31.972803 56.976 53.7500
32.204491 56.619 44.4517
32.437859 55.503 33.0822
32.672916 53.838 16.3311
32.909679 52.027 -16.7910
33.148155 51.367 -70.5013
33.388359 51.733 -108.6910
33.630306 52.405 -130.4667
33.874004 52.399 -146.3951
34.119469 51.711 -164.2166
34.366711 50.747 163.9583
34.615746 51.068 103.4721
34.866585 52.565 61.2437
35.119244 54.432 41.9786
35.373734 55.633 31.3308
35.630066 56.054 24.4376
35.888256 55.669 19.9922
36.148315 54.497 19.2064
36.410259 52.667 24.2026
36.674103 50.721 40.8427
36.939857 49.604 72.3082
37.207539 49.849 97.2972
37.477161 50.557 109.8189
37.748737 50.977 116.3231
38.022282 50.896 121.5340
38.297806 50.464 127.6521
38.575329 49.848 135.3564
38.854862 49.190 144.9484
39.136421 48.595 156.3130
39.420021 48.197 169.9213
39.705673 48.204 -175.0660
39.993397 48.654 -161.7236
40.283207 49.336 -152.7225
40.575115 49.805 -148.4426
40.869141 49.740 -146.9712
41.165295 48.969 -146.0828
41.463596 47.440 -143.1499
41.764057 45.340 -133.1465
42.066696 43.420 -111.5350
42.371529 42.667 -93.3193
42.678570 42.473 -91.6118
42.987835 42.241 -105.5030
43.299343 41.976 -137.6728
43.613110 42.078 179.4411
43.929150 42.340 148.0589
44.247478 41.969 127.9601
44.568115 40.847 112.8862
44.891075 40.686 69.1844
45.216373 42.478 -85.8446
45.544029 44.842 -95.9113
45.874062 46.268 -104.8342
46.206486 46.548 -113.3286
46.541317 45.750 -122.0238
46.878574 43.936 -132.3672
47.218277 41.212 -148.5369
47.560440 37.992 179.5570
47.905083 35.284 143.4692
48.252224 34.406 144.3981
48.601879 36.126 -171.1943
48.954067 38.911 -141.3157
49.308807 41.237 -127.9803
49.666119 42.734 -115.4294
50.026020 43.751 -98.0480
50.388531 44.698 -78.3841
50.753666 45.491 -64.7374
51.121449 45.643 -59.9009
51.491894 44.906 -63.9355
51.865025 44.288 -98.3640
52.240860 45.349 152.3962
52.619419 47.097 135.8779
53.000721 47.895 131.2483
53.384785 47.354 134.0691
53.771633 45.997 151.3865
54.161285 45.032 -177.1770
54.553761 44.693 -161.7190
54.949081 44.018 -167.6326
55.347263 43.177 146.0535
55.748333 43.220 69.4194
56.152309 43.498 49.9897
56.559212 43.356 54.6934
56.969063 44.220 149.0737
57.381886 46.047 172.5762
57.797699 47.033 175.7092
58.216526 46.665 -175.6127
58.638386 45.929 -141.4114
59.063305 46.126 -95.8203
59.491302 46.510 -77.9078
59.922401 45.953 -64.4429
60.356625 45.069 -28.3350
60.793995 45.293 27.0041
61.234531 46.140 49.1726
61.678261 46.459 60.6112
62.125206 46.118 71.0845
62.575390 45.357 80.2022
63.028835 44.285 85.6870
63.485569 42.994 88.1564
63.945610 41.805 89.4923
64.408989 40.958 88.5536
64.875725 40.317 81.8605
65.345840 40.437 42.5303
65.819366 42.140 -81.9221
66.296318 43.979 -93.8902
66.776726 44.622 -95.1953
67.260620 44.097 -84.5625
67.748016 43.188 -59.6807
68.238945 42.260 -38.4097
68.733429 40.691 -28.2995
69.231499 38.558 -5.0975
69.733177 37.293 140.3770
70.238495 36.822 156.4471
70.747475 36.373 -172.0297
71.260139 36.251 -139.7832
71.776520 36.491 -130.5189
72.296638 38.105 72.0727
72.820526 40.941 50.9623
73.348213 43.335 36.9018
73.879723 44.893 13.6910
74.415085 45.954 -22.4625
74.954330 46.696 -62.1035
75.497482 46.811 -89.9509
76.044571 45.888 -106.7187
76.595619 44.142 -113.9579
77.150665 43.960 -129.5325
77.709732 47.088 89.0110
78.272850 50.660 94.2772
78.840050 53.095 95.3530
79.411354 54.122 95.7723
79.986801 53.850 100.3865
80.566422 52.686 113.0977
81.150238 51.130 129.5303
81.738289 49.192 139.2506
82.330597 46.528 140.7488
82.927200 43.251 134.0645
83.528122 40.833 109.1586
84.133400 41.455 -6.2461
84.743065 43.593 -61.5201
85.357147 44.884 -77.6803
85.975677 44.617 -79.7759
86.598694 43.419 -54.9772
87.226227 42.435 -14.0420
87.858307 41.551 6.2603
88.494965 40.358 19.5593
89.136238 39.036 19.4082
89.782158 37.389 -2.0743
90.432755 35.257 -36.0272
91.088066 33.779 -67.7460
91.748131 35.012 -102.5978
92.412979 37.263 -128.6804
93.082642 38.594 -145.2979
93.757156 38.790 -158.7172
94.436562 38.193 -174.7302
95.120888 37.055 164.3616
95.810173 35.842 153.4926
96.504456 35.399 -73.3459
97.203766 35.304 -81.1309
97.908142 35.229 1.9238
98.617622 35.672 27.0034
99.332245 37.055 -7.7755
100.052048 40.200 -46.1727
100.777069 43.525 -43.4534
101.507339 45.418 -44.3207
102.242905 45.317 -44.5179
102.983795 43.493 -34.2970
103.730057 41.270 -8.8507
104.481728 40.631 -178.2153
105.238846 40.982 -164.7421
106.001450 40.668 -142.3358
106.769577 40.078 -102.2937
107.543274 40.109 -9.3741
108.322578 40.444 18.7880
109.107529 39.631 18.4656
109.898170 37.770 14.3511
110.694534 37.543 153.7500
111.496674 40.001 164.4500
112.304626 42.575 165.0566
113.118431 44.720 162.5931
113.938133 46.982 79.1000
114.763779 49.225 -0.3330
115.595406 50.700 -20.3130
116.433060 51.778 -77.8186
117.276779 52.996 -148.6193
118.126617 53.583 -161.6313
118.982613 53.449 -125.2059
119.844810 53.271 -77.7822
120.713257 52.468 -76.0876
121.587997 50.914 65.7632
122.469070 48.914 70.6625
123.356529 46.693 70.8099
124.250420 45.338 52.4613
125.150787 44.427 35.7166
126.057678 42.938 45.1964
126.971146 41.737 151.3652
127.891228 41.739 -136.5181
128.817978 42.135 -49.8993
129.751450 42.198 -2.3130
130.691681 41.312 10.2284
131.638733 39.686 157.5973
132.592636 37.987 148.4987
133.553452 37.799 116.0777
134.521240 38.720 120.3464
135.496033 39.393 157.5529
136.477890 40.006 -158.2382
137.466858 41.103 -162.7446
138.462997 42.557 79.4490
139.466354 43.204 79.2165
140.476990 43.000 100.2144
141.494949 43.625 78.1062
142.520279 45.091 19.6241
143.553040 45.867 10.3331
144.593277 45.943 144.0237
145.641052 45.923 158.8890
146.696426 45.357 138.0530
147.759445 44.323 114.3209
148.830170 43.182 113.0956
149.908661 42.606 -175.1281
150.994965 43.435 -74.6156
152.089142 44.529 -76.2410
153.191238 44.570 -101.2395
154.301331 43.658 -97.0062
155.419464 42.463 -80.2760
156.545700 41.856 -114.6816
157.680099 42.955 140.4282
158.822708 44.311 74.5788
159.973602 44.541 39.2727
161.132843 43.383 29.5720
162.300476 41.592 49.0879
163.476578 40.996 43.9341
164.661194 42.059 -46.8473
165.854401 42.989 -47.5962
167.056244 42.572 -40.4213
168.266800 41.529 -24.3476
169.486130 42.127 -21.7562
170.714294 43.939 -33.4539
171.951355 44.942 -48.3850
173.197388 44.670 -58.8002
174.452454 43.623 -58.0639
175.716614 42.710 -61.8278
176.989929 42.184 -83.0739
178.272476 42.839 -4.5367
179.564316 44.338 -10.6563
180.865509 44.686 -18.4589
182.176132 43.268 -7.4468
183.496262 40.979 14.7055
184.825958 39.627 13.0541
186.165283 40.257 -118.6595
187.514313 41.483 -162.2258
188.873123 42.046 -146.2450
190.241776 42.460 -9.2249
191.620346 43.364 74.9167
193.008911 44.923 30.3435
194.407532 46.993 5.1608
195.816284 48.819 31.5927
197.235245 49.456 29.8388
198.664490 48.678 1.5106
200.104095 47.621 -18.9464
201.554138 47.065 -19.7487
203.014679 46.552 -22.9310
204.485809 46.264 -34.9184
205.967590 46.316 -44.6406
207.460114 45.786 -50.9254
208.963455 44.444 -51.4250
210.477692 43.388 -21.7192
212.002899 43.329 -0.4673
213.539154 44.238 0.2437
215.086548 45.441 -8.8564
216.645157 46.108 -48.8545
218.215057 46.157 -81.0726
219.796341 45.784 -90.2291
221.389069 44.798 -87.8813
222.993347 43.671 -94.5360
224.609253 42.724 -118.2524
226.236862 41.878 -113.4264
227.876266 41.736 -93.6212
229.527557 42.593 -58.7141
231.190811 44.102 -42.0015
232.866119 46.022 -19.0223
234.553558 47.943 91.6108
236.253235 49.028 8.9281
237.965225 49.139 -55.3245
239.689621 48.628 -29.2878
241.426514 47.975 -43.3739
243.175995 47.711 -74.6039
244.938141 47.714 -85.9662
246.713058 48.025 -85.8906
248.500839 48.819 -70.1849
250.301575 49.457 -27.5477
252.115356 49.302 -25.5073
253.942291 48.967 -64.6689
255.782455 49.001 -75.9878
257.635956 48.863 -71.7417
259.502899 48.626 -61.9428
261.383362 48.572 -44.1217
263.277466 48.535 -51.6544
265.185272 48.344 -95.6042
267.106903 47.817 -139.3566
269.042480 47.752 -132.7217
270.992065 48.475 -95.8619
272.955780 48.452 -99.5272
274.933716 47.662 -100.9545
276.925995 47.661 -75.0037
278.932709 49.006 -65.0164
280.953979 50.744 -80.5591
282.989899 51.510 -88.2787
285.040558 51.102 -106.5759
287.106079 50.600 -104.7115
289.186554 50.597 -94.0356
291.282104 50.914 -104.8381
293.392853 50.487 -119.4904
295.518890 49.105 -116.4202
297.660339 48.412 -113.0848
299.817322 49.404 -100.3954
301.989929 51.085 -86.0937
304.178284 52.425 -92.1861
306.382477 53.054 -105.8173
308.602661 53.044 -131.3408
310.838928 52.498 164.1202
313.091400 51.857 150.2902
315.360199 51.299 177.9712
317.645416 51.555 -124.0693
319.947205 52.391 -126.3239
322.265686 52.110 -137.4363
324.600952 50.495 -152.2201
326.953156 49.209 -158.1735
329.322388 50.014 -129.5645
331.708801 52.184 -132.8208
334.112488 54.385 -147.5061
336.533600 55.725 -129.1360
338.972260 55.555 -110.4729
341.428589 54.606 -104.7298
343.902710 53.973 -118.9431
346.394775 53.300 -123.4229
348.904907 53.077 -118.0231
351.433228 54.148 -134.0759
353.979858 55.855 -154.2703
356.544952 57.605 -167.7249
359.128632 58.954 -178.5366
361.731018 59.271 -178.8184
