* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 11, 2024 5:49:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: measured 0.5 m away from mic; 
* Measurement: Fan 6
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 51.934 134.3278
20.287556 52.294 148.1034
20.434568 52.756 161.3857
20.582645 53.345 170.7267
20.731796 54.065 177.2665
20.882027 54.605 -179.2134
21.033346 54.815 -178.5440
21.185762 54.683 -179.8083
21.339283 54.143 177.0945
21.493916 53.210 171.0406
21.649670 52.006 162.3553
21.806553 50.535 147.9851
21.964573 49.333 126.5547
22.123737 48.963 101.3914
22.284056 49.209 78.8042
22.445536 49.711 64.9843
22.608185 50.332 56.5849
22.772013 50.725 52.3477
22.937029 50.829 51.3860
23.103241 50.767 51.7360
23.270657 50.587 53.4120
23.439285 50.292 55.4516
23.609137 49.892 55.5710
23.780218 49.311 53.6822
23.952539 48.426 47.0977
24.126110 47.505 34.1342
24.300938 47.079 10.6588
24.477032 47.346 -23.1742
24.654402 48.530 -51.9835
24.833057 50.222 -71.8534
25.013008 51.589 -85.3489
25.194263 52.545 -96.8131
25.376831 53.009 -106.6304
25.560722 52.979 -117.1446
25.745945 52.477 -127.4927
25.932510 51.517 -140.2145
26.120428 50.145 -154.3166
26.309708 48.452 -173.8538
26.500359 46.729 161.9611
26.692390 45.168 128.3677
26.885815 44.106 93.7303
27.080641 43.504 58.8650
27.276878 43.179 27.7657
27.474539 43.104 -3.1568
27.673630 43.249 -31.6931
27.874165 43.339 -54.6783
28.076153 43.140 -73.4117
28.279604 42.516 -86.4337
28.484529 41.058 -96.5703
28.690941 39.399 -98.9999
28.898848 38.747 -2.6837
29.108261 40.941 42.9602
29.319191 43.911 43.1572
29.531651 45.959 40.6589
29.745649 47.224 39.3108
29.961199 47.758 38.9849
30.178310 47.779 41.1914
30.396996 47.456 45.9563
30.617264 47.044 53.9607
30.839128 46.756 63.0281
31.062601 46.673 71.4149
31.287693 46.585 75.7567
31.514416 46.298 76.1940
31.742783 45.594 71.5477
31.972803 44.435 62.2217
32.204491 42.926 44.7166
32.437859 41.456 17.6077
32.672916 40.296 -15.8066
32.909679 39.528 -48.2025
33.148155 38.778 -77.5912
33.388359 38.790 -125.5820
33.630306 40.250 152.5464
33.874004 42.579 116.8024
34.119469 44.809 97.3132
34.366711 46.267 79.7312
34.615746 47.061 60.7352
34.866585 47.581 36.0629
35.119244 48.309 1.1507
35.373734 49.695 -35.1204
35.630066 51.358 -61.4827
35.888256 52.881 -79.6712
36.148315 53.885 -92.8134
36.410259 54.272 -102.7630
36.674103 53.995 -111.0622
36.939857 53.015 -118.0716
37.207539 51.269 -123.7830
37.477161 48.670 -129.1096
37.748737 45.346 -136.0769
38.022282 41.953 -175.0293
38.297806 41.076 84.3663
38.575329 42.500 80.1853
38.854862 44.366 84.8510
39.136421 45.711 90.4617
39.420021 46.407 94.3413
39.705673 46.346 96.8567
39.993397 45.424 98.9191
40.283207 43.566 102.6416
40.575115 40.859 115.7217
40.869141 38.589 160.3159
41.165295 37.885 -159.6282
41.463596 38.238 -154.1204
41.764057 38.247 -166.1461
42.066696 38.234 159.9265
42.371529 39.198 111.4031
42.678570 40.627 81.9871
42.987835 41.683 65.8826
43.299343 41.862 54.6000
43.613110 41.037 45.3040
43.929150 39.185 37.9980
44.247478 36.459 37.6312
44.568115 34.449 63.5408
44.891075 35.381 93.0938
45.216373 37.937 90.4095
45.544029 40.151 79.1118
45.874062 41.482 67.8662
46.206486 41.861 58.9156
46.541317 41.265 53.4094
46.878574 39.741 53.2737
47.218277 37.561 61.2124
47.560440 35.354 74.3038
47.905083 33.546 78.3440
48.252224 32.245 58.0306
48.601879 32.095 -4.2982
48.954067 32.790 -51.3145
49.308807 33.343 -83.5430
49.666119 33.848 -136.8075
50.026020 34.872 156.1638
50.388531 35.880 125.0621
50.753666 35.934 107.1288
51.121449 34.998 90.3390
51.491894 34.785 -20.2288
51.865025 36.351 -80.9149
52.240860 38.278 -87.6981
52.619419 39.527 -89.5322
53.000721 40.121 -91.2670
53.384785 40.182 -97.6328
53.771633 39.817 -113.8085
54.161285 39.356 -145.9558
54.553761 39.172 169.2861
54.949081 39.084 129.8949
55.347263 38.645 94.4196
55.748333 37.869 49.3274
56.152309 37.170 -8.9158
56.559212 36.601 -54.5668
56.969063 35.777 -85.9453
57.381886 35.010 -107.0288
57.797699 35.967 -112.0625
58.216526 38.771 -109.3403
58.638386 41.548 -113.4639
59.063305 43.313 -122.8040
59.491302 43.810 -134.4058
59.922401 42.978 -147.0508
60.356625 40.871 -159.3599
60.793995 38.177 -157.9165
61.234531 37.130 -59.7002
61.678261 38.420 -68.5469
62.125206 39.821 -87.1504
62.575390 40.345 -101.6909
63.028835 39.832 -110.0073
63.485569 38.311 -112.2358
63.945610 35.945 -110.4902
64.408989 33.373 -115.4006
64.875725 32.862 -152.1494
65.345840 35.310 179.7446
65.819366 38.109 173.2874
66.296318 40.027 168.5730
66.776726 40.862 160.8435
67.260620 40.624 150.4346
67.748016 39.632 143.1855
68.238945 39.292 159.9297
68.733429 41.193 -156.3245
69.231499 43.743 -146.9395
69.733177 45.296 -150.0688
70.238495 45.467 -155.0227
70.747475 44.256 -157.8850
71.260139 41.919 -154.4722
71.776520 39.368 -144.5852
72.296638 37.948 -144.1992
72.820526 37.526 -152.3813
73.348213 37.132 -151.6265
73.879723 37.301 -136.9236
74.415085 39.265 -115.5569
74.954330 42.661 22.6959
75.497482 45.880 24.2961
76.044571 47.804 10.6981
76.595619 48.190 -10.8829
77.150665 47.356 -49.3820
77.709732 45.962 -112.3547
78.272850 44.337 -151.2786
78.840050 42.596 -152.7397
79.411354 41.884 -113.8999
79.986801 42.400 -90.5630
80.566422 42.743 -78.4502
81.150238 42.715 -59.1478
81.738289 42.727 -37.1180
82.330597 42.595 -26.6799
82.927200 41.748 -30.8330
83.528122 39.985 -53.3729
84.133400 37.673 -98.5620
84.743065 35.527 -121.9873
85.357147 34.785 -111.8523
85.975677 35.899 -107.6064
86.598694 37.579 -118.8540
87.226227 39.135 -128.4695
87.858307 40.068 -131.2632
88.494965 39.955 -128.5398
89.136238 39.380 -96.5391
89.782158 39.760 3.0344
90.432755 40.425 17.0432
91.088066 40.001 26.0791
91.748131 38.784 56.4017
92.412979 38.321 140.9037
93.082642 38.686 161.7056
93.757156 38.446 166.4844
94.436562 37.268 165.8914
95.120888 35.823 150.9006
95.810173 35.712 26.2178
96.504456 37.042 -10.6523
97.203766 38.216 -23.3263
97.908142 38.629 -33.3556
98.617622 38.145 -48.5682
99.332245 36.941 -76.4219
100.052048 36.445 -101.2266
100.777069 37.851 -94.9375
101.507339 39.267 -88.8577
102.242905 39.303 -79.8799
102.983795 38.411 -55.7054
103.730057 37.741 -18.9232
104.481728 38.311 22.2598
105.238846 39.516 22.1621
106.001450 39.883 0.6532
106.769577 39.525 -5.4071
107.543274 39.527 107.6572
108.322578 39.716 79.5171
109.107529 39.552 27.6318
109.898170 39.281 -46.5361
110.694534 39.087 -119.7632
111.496674 39.323 -149.7085
112.304626 40.840 -128.2788
113.118431 43.435 -106.4963
113.938133 46.346 -39.9615
114.763779 48.843 -54.5237
115.595406 50.183 -108.6157
116.433060 50.085 -150.5845
117.276779 48.794 -161.8691
118.126617 48.163 -54.6449
118.982613 49.519 -21.4446
119.844810 50.727 -19.5842
120.713257 50.199 -22.9824
121.587997 48.058 5.1536
122.469070 45.277 72.0348
123.356529 42.570 115.1403
124.250420 40.397 147.9177
125.150787 38.488 139.2715
126.057678 37.497 -2.0654
126.971146 38.325 23.4049
127.891228 39.603 46.5480
128.817978 39.869 55.8862
129.751450 39.528 72.6448
130.691681 39.693 75.2767
131.638733 40.163 53.5118
132.592636 40.579 -142.4939
133.553452 40.353 -164.5043
134.521240 39.441 12.6571
135.496033 38.559 -4.7668
136.477890 37.935 -6.0167
137.466858 38.081 80.5104
138.462997 38.610 98.4860
139.466354 38.442 85.5817
140.476990 39.190 103.0576
141.494949 42.253 133.8832
142.520279 45.158 129.5424
143.553040 46.461 126.3706
144.593277 46.289 141.8113
145.641052 45.269 156.4143
146.696426 43.327 142.7395
147.759445 41.114 128.0164
148.830170 40.471 166.7493
149.908661 41.099 -161.8634
150.994965 41.229 -143.4752
152.089142 41.198 -88.5999
153.191238 42.747 14.1669
154.301331 45.452 107.6083
155.419464 47.480 90.6816
156.545700 47.957 61.8137
157.680099 46.876 20.0547
158.822708 45.046 -25.4374
159.973602 44.310 -13.6115
161.132843 45.131 21.3804
162.300476 45.714 16.8888
163.476578 45.984 32.2131
164.661194 46.553 53.4333
165.854401 46.659 48.4882
167.056244 46.738 20.9838
168.266800 47.222 -17.8474
169.486130 46.806 -39.1945
170.714294 45.786 -101.6090
171.951355 45.647 -167.4335
173.197388 45.533 148.2738
174.452454 44.175 128.8313
175.716614 41.741 168.4739
176.989929 39.644 -67.5892
178.272476 39.376 -68.3225
179.564316 40.642 -61.7704
180.865509 41.984 11.7349
182.176132 42.855 77.1115
183.496262 43.414 112.1392
184.825958 43.784 19.5150
186.165283 43.633 5.4810
187.514313 43.229 -55.3901
188.873123 43.413 -83.8607
190.241776 43.803 -49.3181
191.620346 44.460 -34.6287
193.008911 46.436 -19.4636
194.407532 48.532 4.1438
195.816284 49.340 19.9348
197.235245 48.563 15.1599
198.664490 47.350 -16.6245
200.104095 47.216 -32.2985
201.554138 47.276 -39.8806
203.014679 46.377 -64.5166
204.485809 44.894 -95.6196
205.967590 44.035 -101.7185
207.460114 44.165 -104.5040
208.963455 44.103 -100.9733
210.477692 43.623 27.8701
212.002899 43.945 27.9261
213.539154 45.805 -7.8834
215.086548 47.770 -81.6278
216.645157 48.653 -102.3624
218.215057 48.275 -96.9176
219.796341 46.849 -93.4271
221.389069 44.662 -84.4697
222.993347 42.561 -100.6129
224.609253 41.211 141.9695
226.236862 40.888 59.6556
227.876266 42.434 -33.0731
229.527557 44.393 -29.1442
231.190811 44.956 -35.3322
232.866119 44.088 -49.1362
234.553558 42.886 -54.3683
236.253235 43.028 -17.6700
237.965225 45.190 12.8469
239.689621 47.772 1.4409
241.426514 49.808 -70.0219
243.175995 50.532 -90.3948
244.938141 49.813 -109.9496
246.713058 48.792 -122.7761
248.500839 48.590 -5.0227
250.301575 48.730 -34.8781
252.115356 49.229 -65.1893
253.942291 50.251 -60.7450
255.782455 50.566 -60.7910
257.635956 49.590 -117.0621
259.502899 48.238 -141.7500
261.383362 47.824 -134.4574
263.277466 48.819 -81.6033
265.185272 50.889 -59.8845
267.106903 52.709 -76.0818
269.042480 53.226 -87.3746
270.992065 52.488 -100.6658
272.955780 51.016 -115.5414
274.933716 49.449 -131.3246
276.925995 48.550 -126.4779
278.932709 48.508 -111.7888
280.953979 48.889 -99.4154
282.989899 49.269 -99.8081
285.040558 49.655 -127.6873
287.106079 50.275 -135.8627
289.186554 51.075 -116.9174
291.282104 51.720 -99.9033
293.392853 51.880 -99.9375
295.518890 51.188 -121.4817
297.660339 49.984 -119.9338
299.817322 49.443 -111.8970
301.989929 50.583 -102.0273
304.178284 52.354 -111.2700
306.382477 53.503 -127.2802
308.602661 53.566 -144.7412
310.838928 52.459 -158.0326
313.091400 50.953 -155.3684
315.360199 50.187 -143.1964
317.645416 49.545 -145.1991
319.947205 48.295 -146.7074
322.265686 47.190 -144.4658
324.600952 47.167 -146.4565
326.953156 48.544 -170.9174
329.322388 49.884 177.9106
331.708801 50.430 175.7764
334.112488 50.819 -163.7103
336.533600 51.459 -150.3492
338.972260 52.325 -130.5737
341.428589 53.822 -72.8030
343.902710 56.012 -172.2819
346.394775 57.829 151.0360
348.904907 58.467 137.0546
351.433228 57.798 164.2980
353.979858 56.441 -161.0345
356.544952 55.637 179.5894
359.128632 56.016 152.9808
361.731018 56.325 167.6207
